rep	gen	x	y	dispersed	W	homoz	Nmut	Nho	pEp
0	0	0	0	0	0.997163	0	1	0	0.000438487
0	0	0	0	0	0.935933	0	2	0	0
0	0	0	0	0	0.988314	0	2	0	0.0962076
0	0	0	0	0	0.959624	0	3	0	0.00565817
0	0	0	0	0	0.95112	0	1	0	0
0	0	0	0	0	0.986673	0	1	0	0
0	0	0	0	0	0.945806	0	1	0	0
0	0	0	0	0	0.995709	0	1	0	0.027145
0	0	0	0	0	0.98778	0	1	0	0
0	0	0	0	0	0.981264	0	1	0	0.0783437
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0.995711	0	1	0	0.0335489
0	0	0	0	0	0.985942	0	1	0	0
0	0	0	0	0	0.887915	0	4	0	0.0282532
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0.980339	0	1	0	0.0234126
0	0	0	0	0	0.998552	0	2	0	0.123978
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0.995683	0	1	0	0.0249981
0	0	0	0	0	1	0	0	0	0.120879
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0.987947	0	1	0	0.0394628
0	0	0	0	0	1	0	0	0	0.0344863
0	0	0	0	0	0.990773	0	1	0	0.0134945
0	0	0	0	0	0.989074	0	1	0	0.113365
0	0	0	0	0	1	0	0	0	0.107202
0	0	0	0	0	0.997869	0	1	0	0
0	0	0	0	0	0.982435	0	2	0	0.116471
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0.99001	0	1	0	0
0	0	0	0	0	1	0	0	0	0.141225
0	0	0	0	0	0.998512	0	1	0	0.0698063
0	0	0	0	0	0.979885	0	1	0	0.0943624
0	0	0	0	0	0.985153	0	3	0	0
0	0	0	0	0	0.999935	0	1	0	0.0488038
0	0	0	0	0	1	0	0	0	0.199783
0	0	0	0	0	0.982055	0	1	0	0
0	0	0	0	0	0.970222	0	1	0	0.0424562
0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0.0851078
0	0	0	0	0	0.940825	0	2	0	0.0093782
0	0	0	0	0	0.978329	0	2	0	0
0	0	0	0	0	0.934984	0	3	0	0
0	0	0	0	0	0.943398	0	3	0	0
0	0	0	0	0	0.96615	0	2	0	0.0207529
0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.0265374
0	0	0	1	0	0.974447	0	3	0	0.0299286
0	0	0	1	0	0.982132	0	1	0	0.0391359
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	0.979176	0	1	0	0.122313
0	0	0	1	0	0.932254	0	4	0	0.162815
0	0	0	1	0	1	0	0	0	0.0314089
0	0	0	1	0	0.98699	0	1	0	0
0	0	0	1	0	1	0	0	0	0.0717011
0	0	0	1	0	0.978315	0	2	0	0.102855
0	0	0	1	0	0.996262	0	1	0	0.0530445
0	0	0	1	0	0.993707	0	1	0	0.166451
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	0.944229	0	3	0	0.317613
0	0	0	1	0	0.97662	0	2	0	0.333106
0	0	0	1	0	0.960719	0	2	0	0.32719
0	0	0	1	0	1	0	0	0	0
0	0	0	1	0	1	0	0	0	0.114649
0	0	0	1	0	1	0	0	0	0.048428
0	0	0	1	0	1	0	0	0	0.00120259
0	0	0	1	0	0.927656	0	3	0	0.231986
