rep	gen	x	y	Nf	Nm	W	Wstd	Homoz	Hstd	DelMut	DelMutSd
0	0	0	0	23	25	0.983148	0.023542	0	0	1.0625	0.987553
0	0	0	1	23	36	0.988828	0.0179935	0	0	0.830508	0.976895
0	0	1	0	34	25	0.987826	0.0172645	0	0	0.966102	0.973655
0	0	1	1	22	20	0.98566	0.0148563	0	0	0.928571	0.70349
0	10	0	0	31	27	0.864412	0.0516033	0.106172	0.0628652	11.1207	3.01764
0	10	0	1	30	26	0.828747	0.0517583	0.167393	0.0744551	9.80357	2.66203
0	10	1	0	28	29	0.853188	0.0535173	0.117965	0.0344755	11.2807	2.95436
0	10	1	1	32	29	0.871468	0.0554925	0.165836	0.0709378	8.77049	2.24991
0	20	0	0	26	28	0.751749	0.0621458	0.206444	0.0818134	20.1481	3.78793
0	20	0	1	24	23	0.749311	0.0621483	0.268553	0.0511097	15.4043	3.43734
0	20	1	0	25	35	0.766577	0.0568274	0.233333	0.0319305	19.2833	3.94162
0	20	1	1	27	23	0.769648	0.0616858	0.23544	0.0693144	16.36	3.29096
0	30	0	0	33	34	0.752384	0.0681049	0.335433	0.0427863	20.9851	4.30374
0	30	0	1	26	26	0.676709	0.0684902	0.386115	0.0633481	21.8077	3.74699
0	30	1	0	13	28	0.691972	0.06734	0.25239	0.0597364	26.2927	5.69657
0	30	1	1	24	30	0.728492	0.0747666	0.312037	0.0495334	20.8148	4.78065
0	40	0	0	26	31	0.704569	0.0644746	0.30214	0.130705	27.8772	4.40522
0	40	0	1	30	23	0.574671	0.0876172	0.353321	0.121875	31.283	4.73596
0	40	1	0	24	28	0.655733	0.061678	0.310038	0.067355	31.7692	4.00296
0	40	1	1	23	27	0.678037	0.0715292	0.38548	0.0473232	25.04	4.1855
0	50	0	0	22	27	0.634077	0.057505	0.369714	0.0553106	34.4082	4.93599
0	50	0	1	27	20	0.577915	0.0581669	0.400766	0.0838982	37.9787	5.2814
0	50	1	0	23	34	0.597024	0.068623	0.370035	0.0308829	37.4035	5.46074
0	50	1	1	18	24	0.639834	0.0617527	0.456429	0.036498	28.7381	4.85043
0	60	0	0	26	27	0.612289	0.0706484	0.473887	0.0721962	32.283	4.9426
0	60	0	1	33	32	0.596828	0.061731	0.353138	0.0592829	37.6923	3.9063
0	60	1	0	22	21	0.607154	0.0954727	0.472093	0.037647	36.5814	7.43102
0	60	1	1	28	31	0.591112	0.0775867	0.520305	0.0286837	33.9661	4.87111
0	70	0	0	23	30	0.56287	0.094209	0.536604	0.0410404	37.6226	7.646
0	70	0	1	27	34	0.593228	0.060546	0.417115	0.036179	38	4.59865
0	70	1	0	18	33	0.569868	0.101887	0.539686	0.0331186	38.2941	5.99115
0	70	1	1	23	34	0.556032	0.065444	0.47786	0.0288587	39.7018	5.88774
0	80	0	0	26	28	0.564047	0.0653956	0.550741	0.052491	44.1111	4.63348
0	80	0	1	24	24	0.576311	0.0596819	0.511333	0.0396407	40.5417	5.25578
0	80	1	0	38	19	0.616843	0.0831149	0.600421	0.030266	36.9123	4.72129
0	80	1	1	18	25	0.5116	0.0608879	0.543163	0.0292932	45.4186	4.35747
0	90	0	0	20	21	0.494214	0.0674926	0.580878	0.0313938	49.0732	5.10567
0	90	0	1	34	20	0.505795	0.0768589	0.514185	0.0600916	50.5	6.44851
0	90	1	0	19	28	0.594283	0.0759609	0.64434	0.0313534	38.7872	5.91765
0	90	1	1	25	34	0.510028	0.0816006	0.589254	0.0289708	48.8814	7.89998
0	100	0	0	28	31	0.468361	0.0649153	0.647017	0.0378353	48.8305	5.19502
0	100	0	1	23	27	0.501905	0.0737755	0.584	0.0286887	49.68	5.67605
0	100	1	0	34	20	0.579558	0.0819645	0.640519	0.0924668	42.5926	5.02777
