rep	gen	x	y	out	W	homoz	Nmut	Nho
0	11	0	0	1	0.853443	0	13	0
0	11	0	0	1	0.831643	0	9	0
0	11	0	0	1	0.765259	0	9	0
0	11	0	0	1	0.803335	0	12	0
0	11	0	0	1	0.693656	0	19	0
0	11	0	0	1	0.783787	0	11	0
0	11	0	0	1	0.842189	0	12	0
0	11	0	0	1	0.789189	0	14	0
0	11	0	0	1	0.824702	1	10	0
0	11	0	0	1	0.929066	0	7	0
0	11	0	0	1	0.925965	0	13	0
0	11	0	0	1	0.931502	1	10	0
0	11	0	0	1	0.836045	0	10	0
0	11	0	0	1	0.933523	0	7	0
0	11	0	0	1	0.913228	0	8	0
0	11	0	0	1	0.749339	0	15	0
0	11	0	0	1	0.844443	0	10	0
0	11	0	0	1	0.91664	1	8	0
0	11	0	0	1	0.869831	0	8	0
0	11	0	0	1	0.897625	0	10	0
0	11	0	0	1	0.836636	0	13	0
0	11	0	0	1	0.812438	0	12	0
0	11	0	0	1	0.919182	0	8	0
0	11	0	0	1	0.909266	0	9	0
0	11	0	0	1	0.818904	0	8	0
0	11	0	0	1	0.925795	1	7	0
0	11	0	0	1	0.770112	0	14	0
0	11	0	0	1	0.833152	0	9	0
0	11	0	0	1	0.800101	0	12	0
0	11	0	0	1	0.926626	0	10	0
0	11	0	0	1	0.732054	0	13	0
0	11	0	0	1	0.874515	0	10	0
0	11	0	0	1	0.784378	0	12	0
0	11	0	0	1	0.786639	0	15	0
0	11	0	0	1	0.825078	0	9	0
0	11	0	0	1	0.885185	0	10	0
0	11	0	0	1	0.865275	0	13	0
0	11	0	0	1	0.822895	0	13	0
0	11	0	0	1	0.802543	0	12	0
0	11	0	0	1	0.803402	0	12	0
0	11	0	0	1	0.878608	0	9	0
0	11	0	0	1	0.880671	0	7	0
0	11	0	0	1	0.914807	0	9	0
0	11	0	0	1	0.837257	0	12	0
0	11	0	0	1	0.851505	0	12	0
0	11	0	0	1	0.871168	0	11	0
0	11	0	0	1	0.83776	0	12	0
0	11	0	0	1	0.791672	0	12	0
0	11	0	0	1	0.872786	0	10	0
0	11	0	0	1	0.829954	0	10	0
0	11	0	0	1	0.865195	7	6	0
0	11	0	0	1	0.828208	13	13	0
0	11	0	0	1	0.900726	0	10	0
0	11	0	0	1	0.941279	11	6	0
0	11	0	0	1	0.862324	0	14	0
0	11	0	0	1	0.847906	0	11	0
0	11	0	0	1	0.834555	4	9	0
0	11	0	0	1	0.906392	1	5	0
0	11	0	0	1	0.855834	0	8	0
0	11	0	0	1	0.891618	6	10	0
0	11	0	0	1	0.853942	4	12	0
0	11	0	0	1	0.943836	0	5	0
0	11	0	0	1	0.832047	6	10	0
0	11	0	0	1	0.839508	0	13	0
0	11	0	0	1	0.905417	0	11	0
0	11	0	0	1	0.837155	10	9	0
0	11	0	0	1	0.902952	12	8	0
0	11	0	0	1	0.891229	0	11	0
0	11	0	0	1	0.921186	0	6	0
0	11	0	0	1	0.923971	0	5	0
0	11	0	0	1	0.768407	9	19	0
0	11	0	0	1	0.908087	8	13	0
0	11	0	0	1	0.898174	0	11	0
0	11	0	0	1	0.783221	15	17	0
0	11	0	0	1	0.859567	0	14	0
0	11	0	0	1	0.919033	0	11	0
0	11	0	0	1	0.92076	0	13	0
0	11	0	0	1	0.910207	0	12	0
0	11	0	0	1	0.876928	7	14	0
0	11	0	0	1	0.925216	0	8	0
0	11	0	0	1	0.878686	0	9	0
0	11	0	0	1	0.854176	0	12	0
0	11	0	0	1	0.782348	0	13	0
0	11	0	0	1	0.921252	0	8	0
0	11	0	0	1	0.811526	0	13	0
0	11	0	0	1	0.839872	0	9	0
0	11	0	0	1	0.854041	0	9	0
0	11	0	0	1	0.933744	1	9	0
0	11	0	0	1	0.819567	0	11	0
0	11	0	0	1	0.862507	0	14	0
0	11	0	0	1	0.760674	0	14	0
0	11	0	0	1	0.805651	0	15	0
0	11	0	0	1	0.818011	0	13	0
0	11	0	0	1	0.784479	0	12	0
0	11	0	0	1	0.764256	0	16	0
0	11	0	0	1	0.810853	0	11	0
0	11	0	0	1	0.81528	0	12	0
0	11	0	0	1	0.824385	0	17	0
0	11	0	0	1	0.84976	0	11	0
0	11	0	0	1	0.862738	0	11	0
0	11	0	0	1	0.896318	0	9	0
0	11	0	0	1	0.797708	0	13	0
0	11	0	0	1	0.801552	0	11	0
0	11	0	0	1	0.856451	0	12	0
0	11	0	0	1	0.789274	0	13	0
0	11	0	0	1	0.856078	0	14	0
0	11	0	0	1	0.756921	0	17	0
0	11	0	0	1	0.86089	0	9	0
0	11	0	0	1	0.870342	0	10	0
0	11	0	0	1	0.853093	0	7	0
0	11	0	0	1	0.810726	0	11	0
0	11	0	0	1	0.800745	0	13	0
0	11	0	0	1	0.902216	0	13	0
0	11	0	0	1	0.878351	0	14	0
0	11	0	0	1	0.829286	0	15	0
0	11	0	0	1	0.924596	0	11	0
